time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.6200000000000002,-0.06727561901160421,-0.0005749640278351755,2.958817983213653,6.282295801904141,0.10317519760677474,0.0,-0.432495104768349,-0.0037128058198000404,7.669617006235772,-0.0029018513514331022,0.3355766595357704,0.0,877.4531,878.8164,4.655505,0.002239341
0.6400000000000002,-0.07634410206859712,-0.0006528110558740403,3.1142852495399986,6.28223776869363,0.10994201492157174,0.0,-0.474353200930942,-0.0040718969840864375,7.87710962639883,-0.002989218611045082,0.3460918032895568,0.0,877.4531,878.8164,4.655505,0.002239341
0.6600000000000003,-0.08627368528300906,-0.0007380415319175067,3.2738679005065157,6.282177988104408,0.1169188195973021,0.0,-0.5186051205102513,-0.004451150620260202,8.081155470252892,-0.003076201367546741,0.3565768984192096,0.0,877.4531,878.8164,4.655505,0.002239341
0.6800000000000003,-0.09711261050709516,-0.0008310610818020678,3.437496446775054,6.282116467826931,0.12410500221248366,0.0,-0.5652874018983578,-0.004850804368195912,8.28169915660095,-0.003162802468609694,0.3670310503979361,0.0,877.4531,878.8164,4.655505,0.002239341
0.7000000000000003,-0.10890982595963825,-0.0009322798106432782,3.6051003283445615,6.282053215494722,0.1314999356548041,0.0,-0.6144341433559503,-0.005271068515925124,8.47868900034979,-0.0032490250024036355,0.37745337589288974,0.0,877.4531,878.8164,4.655505,0.002239341
0.7200000000000003,-0.12171493822709445,-0.0010421117599269756,3.776607987805061,6.281988238679553,0.13910297534875227,0.0,-0.66607708338967,-0.005712126412444605,8.67207694570021,-0.0033348722893067227,0.387843003036357,0.0,877.4531,878.8164,4.655505,0.002239341
0.7400000000000003,-0.13557816592474214,-0.0011609743731997462,3.9519469421487257,6.281921544886805,0.14691345948844248,0.0,-0.7202456863750992,-0.006174134914832459,8.861818488666268,-0.0034203478732313286,0.39819907168839314,0.0,877.4531,878.8164,4.655505,0.002239341
0.7600000000000003,-0.15055029511510337,-0.0012892879709822034,4.131043852928681,6.281853141550995,0.15493070927545638,0.0,-0.7769672326610237,-0.00665722486341327,9.047872589329213,-0.0035054555126003252,0.40852073369078223,0.0,877.4531,878.8164,4.655505,0.002239341
0.7800000000000004,-0.16668263656549073,-0.0014274752354022763,4.313824594564605,6.281783036031486,0.16315402916152877,0.0,-0.836266912377711,-0.00716150157859403,9.230201574263189,-0.0035901991710091605,0.4188071531121681,0.0,877.4531,878.8164,4.655505,0.002239341
0.8000000000000004,-0.18402698491091032,-0.0015759607049172651,4.500214320603226,6.28171123560838,0.17158270709589818,0.0,-0.8981679221642506,-0.007687045372904843,9.408771029598983,-0.0036745830076088974,0.4290575064842605,0.0,877.4531,878.8164,4.655505,0.002239341
